Tipo CLASS Valor class            Linea 1                Posicion 0   
Tipo ID   Valor HelloWorld       Linea 1                Posicion 6   
Tipo LBRACE Valor {                Linea 1                Posicion 17  
Tipo INT  Valor int              Linea 2                Posicion 23  
Tipo ID   Valor i                Linea 2                Posicion 27  
Tipo EQUALS Valor =                Linea 2                Posicion 29  
Tipo NUMBER Valor 3                Linea 2                Posicion 31  
Tipo SEMI Valor ;                Linea 2                Posicion 32  
Tipo PUBLIC Valor public           Linea 3                Posicion 38  
Tipo STATIC Valor static           Linea 3                Posicion 45  
Tipo VOID Valor void             Linea 3                Posicion 52  
Tipo MAIN Valor main             Linea 3                Posicion 57  
Tipo LPAREN Valor (                Linea 3                Posicion 61  
Tipo STRING Valor String           Linea 3                Posicion 62  
Tipo LBRACKET Valor [                Linea 3                Posicion 68  
Tipo RBRACKET Valor ]                Linea 3                Posicion 69  
Tipo ARGS Valor args             Linea 3                Posicion 71  
Tipo RPAREN Valor )                Linea 3                Posicion 75  
Tipo LBRACE Valor {                Linea 3                Posicion 77  
Tipo FOR  Valor for              Linea 4                Posicion 87  
Tipo LPAREN Valor (                Linea 4                Posicion 91  
Tipo INT  Valor int              Linea 4                Posicion 92  
Tipo ID   Valor i                Linea 4                Posicion 96  
Tipo EQUALS Valor =                Linea 4                Posicion 98  
Tipo NUMBER Valor 1                Linea 4                Posicion 100 
Tipo SEMI Valor ;                Linea 4                Posicion 101 
Tipo ID   Valor i                Linea 4                Posicion 103 
Tipo LE   Valor <=               Linea 4                Posicion 105 
Tipo NUMBER Valor 5                Linea 4                Posicion 108 
Tipo SEMI Valor ;                Linea 4                Posicion 109 
Tipo ID   Valor i                Linea 4                Posicion 111 
Tipo INCREMENT Valor ++               Linea 4                Posicion 112 
Tipo RPAREN Valor )                Linea 4                Posicion 114 
Tipo LBRACE Valor {                Linea 4                Posicion 116 
Tipo SYSTEM Valor System           Linea 5                Posicion 130 
Tipo PUNTO Valor .                Linea 5                Posicion 136 
Tipo OUT  Valor out              Linea 5                Posicion 137 
Tipo PUNTO Valor .                Linea 5                Posicion 140 
Tipo PRINTLN Valor println          Linea 5                Posicion 141 
Tipo LPAREN Valor (                Linea 5                Posicion 148 
Tipo ID   Valor i                Linea 5                Posicion 149 
Tipo RPAREN Valor )                Linea 5                Posicion 150 
