Tipo CLASS Valor class            Linea 1                Posicion 0   
Tipo ID   Valor HelloWorld       Linea 1                Posicion 6   
Tipo LBRACE Valor {                Linea 1                Posicion 17  
Tipo PUBLIC Valor public           Linea 2                Posicion 23  
Tipo STATIC Valor static           Linea 2                Posicion 30  
Tipo VOID Valor void             Linea 2                Posicion 37  
Tipo MAIN Valor main             Linea 2                Posicion 42  
Tipo LPAREN Valor (                Linea 2                Posicion 46  
Tipo STRING Valor String           Linea 2                Posicion 47  
Tipo LBRACKET Valor [                Linea 2                Posicion 53  
Tipo RBRACKET Valor ]                Linea 2                Posicion 54  
Tipo ARGS Valor args             Linea 2                Posicion 56  
Tipo RPAREN Valor )                Linea 2                Posicion 60  
Tipo LBRACE Valor {                Linea 2                Posicion 62  
Tipo FOR  Valor for              Linea 3                Posicion 72  
Tipo LPAREN Valor (                Linea 3                Posicion 76  
Tipo INT  Valor int              Linea 3                Posicion 77  
Tipo ID   Valor i                Linea 3                Posicion 81  
Tipo EQUALS Valor =                Linea 3                Posicion 83  
Tipo NUMBER Valor 1                Linea 3                Posicion 85  
Tipo SEMI Valor ;                Linea 3                Posicion 86  
Tipo ID   Valor i                Linea 3                Posicion 88  
Tipo LE   Valor <=               Linea 3                Posicion 90  
Tipo NUMBER Valor 5                Linea 3                Posicion 93  
Tipo SEMI Valor ;                Linea 3                Posicion 94  
Tipo ID   Valor i                Linea 3                Posicion 96  
Tipo INCREMENT Valor ++               Linea 3                Posicion 97  
Tipo RPAREN Valor )                Linea 3                Posicion 99  
Tipo LBRACE Valor {                Linea 3                Posicion 101 
Tipo SYSTEM Valor System           Linea 4                Posicion 115 
Tipo PUNTO Valor .                Linea 4                Posicion 121 
Tipo OUT  Valor out              Linea 4                Posicion 122 
Tipo PUNTO Valor .                Linea 4                Posicion 125 
Tipo PRINTLN Valor println          Linea 4                Posicion 126 
Tipo LPAREN Valor (                Linea 4                Posicion 133 
Tipo ID   Valor i                Linea 4                Posicion 134 
Tipo RPAREN Valor )                Linea 4                Posicion 135 
Tipo SEMI Valor ;                Linea 4                Posicion 136 
Tipo RBRACE Valor }                Linea 5                Posicion 146 
Tipo FOR  Valor for              Linea 7                Posicion 165 
Tipo LPAREN Valor (                Linea 7                Posicion 169 
Tipo STRING Valor String           Linea 7                Posicion 170 
